Codi,UTM_X,UTM_Y,Cota,Valor,Clase
A3-01,419880.0,4580670.0,-21,S,
A3-02,419480.0,4580740.0,-28,S,
A3-03,419570.0,4580410.0,-22,S,
A3-04,420240.0,4580800.0,-18,S,
A3-05,420560.0,4580880.0,-10,S,
A3-06,420790.0,4581280.0,-9,S,
A3-13,420070.0,4581230.0,-35,S,
A4-01,424065.0,4580875.0,7,S,
A4-02,424560.0,4580950.0,7,S,
A4-03,421871.0,4579182.0,-28,S,
A4-04,421744.0,4579205.0,-32,S,
A4-05,421762.0,4578961.0,-29,S,
A4-06,421718.0,4578992.0,-28,S,
A4-07,421789.0,4579028.0,-30,S,
A4-09,421856.0,4578989.0,-45,S,
A5-02,427697.0,4579247.0,-26,S,
A5-03,427369.0,4579475.0,-30,S,
A5-04,426775.0,4579614.0,-10,S,
A5-05,426556.0,4579775.0,-3,S,
A5-06,426415.0,4580031.0,3,S,
A5-10,426780.0,4578820.0,-28,S,
A5-11,425970.0,4580468.0,-30,S,
A5-12,426830.0,4578930.0,-29,S,
A5-13,426740.0,4578840.0,-34,S,
A5-14,425210.0,4579140.0,-9,S,
B3-05,420400.0,4578015.0,-29,S,
B3-06,421030.0,4578520.0,-34,S,
B3-07,421370.0,4578720.0,-29,S,
B3-09,420520.0,4576590.0,-22,S,
B3-12,421160.0,4578610.0,-32,S,
B3-17,421470.0,4576670.0,-67,S,
B3-21,420780.0,4578410.0,-41,S,
B3-24,420340.0,4578700.0,-34,S,
B3-25,421186.0,4578600.0,-26,S,
B3-26,420923.0,4578477.0,-34,S,
B3-27,420497.0,4578271.0,-39,S,
B3-28,420510.0,4578240.0,-35,S,
B4-01,421727.0,4578420.0,-34,S,
B4-02,423650.0,4578250.0,-17,S,
B4-03,422250.0,4577980.0,-37,S,
B4-04,421850.0,4578270.0,-38,S,
B4-07,422210.0,4577760.0,-43,S,
B4-08,424500.0,4577640.0,-38,S,
B4-10,424210.0,4576930.0,-57,S,
B4-12,424540.0,4577660.0,-40,S,
B5-26,427760.0,4578590.0,-55,S,
B5-27,427860.0,4578750.0,-38,S,
