Codi,UTM_X,UTM_Y,Cota,Valor,Clase
A3-01,419880.0,4580670.0,-10,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-9,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-8,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-7,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-6,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-5,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-4,1.0,arcillas y limos
A3-01,419880.0,4580670.0,-3,1.0,arcillas y limos
A3-01,419880.0,4580670.0,2,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,3,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,4,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,5,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,6,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,7,0.0004,arcillas y limos
A3-04,420240.0,4580800.0,-17,1.0,arcillas y limos
A3-04,420240.0,4580800.0,-16,1.0,arcillas y limos
A3-04,420240.0,4580800.0,-15,1.0,arcillas y limos
A3-04,420240.0,4580800.0,-14,1.0,arcillas y limos
A3-04,420240.0,4580800.0,-13,1.0,arcillas y limos
A3-04,420240.0,4580800.0,-12,1.0,arcillas y limos
A3-04,420240.0,4580800.0,-11,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-10,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-9,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-8,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-7,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-6,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-5,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-4,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-3,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-2,0.45,arcillas y limos
A3-04,420240.0,4580800.0,-1,0.45,arcillas y limos
A3-04,420240.0,4580800.0,0,0.45,arcillas y limos
A3-04,420240.0,4580800.0,1,0.45,arcillas y limos
A3-04,420240.0,4580800.0,2,0.45,arcillas y limos
A3-04,420240.0,4580800.0,3,0.0004,arcillas y limos
A3-04,420240.0,4580800.0,4,0.0004,arcillas y limos
A3-04,420240.0,4580800.0,5,0.0004,arcillas y limos
A3-04,420240.0,4580800.0,6,0.0004,arcillas y limos
A3-04,420240.0,4580800.0,7,0.0004,arcillas y limos
A3-05,420560.0,4580880.0,-9,0.0004,arcillas y limos
A3-05,420560.0,4580880.0,6,0.0004,arcillas y limos
A3-05,420560.0,4580880.0,7,0.0004,arcillas y limos
A3-06,420790.0,4581280.0,-8,1.0,arcillas y limos
A3-06,420790.0,4581280.0,-7,0.45,arcillas y limos
A3-06,420790.0,4581280.0,-2,1.0,arcillas y limos
A3-06,420790.0,4581280.0,-1,0.16,arcillas y limos
A3-06,420790.0,4581280.0,0,0.16,arcillas y limos
