Codi,UTM_X,UTM_Y,Cota,Valor,Clase
A3-01,419880.0,4580670.0,-21,S,
A3-01,419880.0,4580670.0,-20,7,gravillas y gravas
A3-01,419880.0,4580670.0,-19,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-18,7,gravillas y gravas
A3-01,419880.0,4580670.0,-17,7,gravillas y gravas
A3-01,419880.0,4580670.0,-16,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-15,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-14,7,gravillas y gravas
A3-01,419880.0,4580670.0,-13,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-12,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-11,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-10,1,arcillas y limos
A3-01,419880.0,4580670.0,-9,1,arcillas y limos
A3-01,419880.0,4580670.0,-8,1,arcillas y limos
A3-01,419880.0,4580670.0,-7,1,arcillas y limos
A3-01,419880.0,4580670.0,-6,1,arcillas y limos
A3-01,419880.0,4580670.0,-5,1,arcillas y limos
A3-01,419880.0,4580670.0,-4,1,arcillas y limos
A3-01,419880.0,4580670.0,-3,1,arcillas y limos
A3-01,419880.0,4580670.0,-2,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,-1,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,0,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,1,7.0,gravillas y gravas
A3-01,419880.0,4580670.0,2,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,3,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,4,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,5,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,6,0.0004,arcillas y limos
A3-01,419880.0,4580670.0,7,0.0004,arcillas y limos
A3-02,419480.0,4580740.0,-28,S,
A3-02,419480.0,4580740.0,-27,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-26,30,gravillas y gravas
A3-02,419480.0,4580740.0,-25,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-24,30,gravillas y gravas
A3-02,419480.0,4580740.0,-23,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-22,30,gravillas y gravas
A3-02,419480.0,4580740.0,-21,30,gravillas y gravas
A3-02,419480.0,4580740.0,-20,30,gravillas y gravas
A3-02,419480.0,4580740.0,-19,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-18,30,gravillas y gravas
A3-02,419480.0,4580740.0,-17,30,gravillas y gravas
A3-02,419480.0,4580740.0,-16,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-15,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-14,30,gravillas y gravas
A3-02,419480.0,4580740.0,-13,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-12,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-11,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-10,30,gravillas y gravas
A3-02,419480.0,4580740.0,-9,30,gravillas y gravas
A3-02,419480.0,4580740.0,-8,30,gravillas y gravas
A3-02,419480.0,4580740.0,-7,30,gravillas y gravas
A3-02,419480.0,4580740.0,-6,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-5,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-4,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-3,30,gravillas y gravas
A3-02,419480.0,4580740.0,-2,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,-1,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,0,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,1,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,2,30.0,gravillas y gravas
A3-02,419480.0,4580740.0,3,30,gravillas y gravas
A3-02,419480.0,4580740.0,4,30,gravillas y gravas
