UTM_X,UTM_Y,Cota
417298.70049766015,4581675.084747239,7.0
417640.55909669027,4581044.766374813,7.0
417758.99744385283,4579993.999700126,7.0
417952.23305802443,4579819.6089841295,7.0
418395.99937249953,4578868.003191586,7.0
418971.99918264756,4578631.001500809,7.0
419254.00054274104,4578294.000775225,7.0
419413.7479530662,4578007.321532079,7.0
420018.4738778355,4577622.624225796,7.0
420173.21225629514,4576632.238251775,7.0
419599.9977398312,4575630.004644794,7.0
418960.00119990285,4574920.002998939,7.0
418190.4802198502,4574376.416334766,7.0
417035.6981409502,4574475.992829124,7.0
416890.62749304075,4573711.977482117,7.0
416791.8101648395,4573228.429691177,7.0
416624.31262653176,4572973.980669815,7.0
415969.75556077535,4572348.484206518,7.0
415710.002456846,4571850.004622146,7.0
414879.9987263747,4570924.629099439,7.0
413507.999120767,4569412.999831094,7.0
413119.742914145,4568634.656411039,7.0
415363.99653215875,4568564.976050232,7.0
417330.3747068364,4568644.601386398,7.0
420044.85440627777,4569100.266873184,7.0
422133.9905714336,4569690.85004662,7.0
426002.7246692396,4571357.42933873,7.0
427165.5360831043,4572291.574550054,7.0
428740.8699538321,4574325.711912989,7.0
428844.2886803696,4575058.23551473,7.0
428891.73670185043,4575567.055884881,7.0
428485.4105558676,4575632.822091334,7.0
428492.4963717296,4576068.007073938,7.0
428133.6258533334,4576054.40900241,7.0
428121.2703590625,4576268.036397489,7.0
428720.7829646155,4576539.395693006,7.0
428838.4846347426,4577263.135307793,7.0
428770.4730826318,4577512.848416735,7.0
429292.9141203554,4577485.607955565,7.0
429318.8925900755,4577264.060797451,7.0
429716.251856303,4577561.519438457,7.0
429774.42395478045,4578096.085530799,7.0
430181.5254276758,4578628.429778462,7.0
430421.79088808934,4578925.931712829,7.0
431145.107351568,4580130.833772314,7.0
431098.49361284095,4580064.34595375,7.0
431061.5427306275,4580147.83946487,7.0
431035.207177787,4580176.139056879,7.0
430760.88089440635,4580082.90857027,7.0
430602.7358805895,4580012.501730226,7.0
430459.66999989655,4579856.084530377,7.0
430217.25567226793,4579547.695320805,7.0
429643.54456346063,4578847.39394844,7.0
  429256,4578232,7.0
  428562,4578703,7.0
  427956,4579275,7.0
428032.0122467786,4579613.000144921,7.0
427784.8090130979,4579969.965198782,7.0
427536.26907486736,4579826.009398807,7.0
426568,4581000,7.0
425733,4580500,7.0
424512.142324226,4579567.118038476,7.0
424294.2239857761,4579442.729102198,7.0
423986.43969033094,4579564.57863384,7.0
423838.20860905066,4579516.632966273,7.0
423708.5163482396,4579642.209952172,7.0
423668.49257284135,4579677.8096931,7.0
423410.90704587084,4579822.310418976,7.0
422385.2270243629,4579114.438119168,7.0
421991.57422524795,4579102.859446381,7.0
421480.12263047387,4579512.329710853,7.0
421797.5145566803,4579836.0525155105,7.0
421394.01372887555,4579993.304082012,7.0
421246.3725404866,4580399.444176214,7.0
  421000.2663245138,4580562.139378706,7.0
  420972.52510824765,4581300,7.0
  420770,4581282,7.0
420101.12956124183,4581457.984233283,7.0
420032.62411250593,4581788.818000604,7.0
419642.0566203543,4582374.850876053,7.0
419154.26339986094,4582825.015874799,7.0
