Codi,UTM_X,UTM_Y,Cota,Valor,Clase
B3-17,421470.0,4576670.0,-66,1,arcillas y limos
B3-17,421470.0,4576670.0,-65,1,arcillas y limos
B4-10,424210.0,4576930.0,-56,0.0004,arcillas y limos
B4-10,424210.0,4576930.0,-55,0.0004,arcillas y limos
B4-10,424210.0,4576930.0,-54,0.0004,arcillas y limos
B4-10,424210.0,4576930.0,-53,0.0004,arcillas y limos
B4-10,424210.0,4576930.0,-52,0.0004,arcillas y limos
B4-10,424210.0,4576930.0,-51,0.0004,arcillas y limos
B4-19,424636.0,4576540.0,-51,0.45,arcillas y limos
B5-19,427515.0,4577305.0,-52,1,arcillas y limos
B5-19,427515.0,4577305.0,-51,1,arcillas y limos
B5-30,428450.0,4577240.0,-80,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-79,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-78,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-77,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-76,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-75,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-74,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-73,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-72,0.45,arcillas y limos
B5-30,428450.0,4577240.0,-56,0.01,arcillas y limos
B5-30,428450.0,4577240.0,-55,0.01,arcillas y limos
B5-30,428450.0,4577240.0,-54,0.01,arcillas y limos
B5-30,428450.0,4577240.0,-53,0.01,arcillas y limos
B5-30,428450.0,4577240.0,-52,0.01,arcillas y limos
B5-30,428450.0,4577240.0,-51,0.01,arcillas y limos
B5-32,427050.0,4576750.0,-59,65,arcillas y limos
B5-32,427050.0,4576750.0,-58,65,arcillas y limos
B5-32,427050.0,4576750.0,-57,65,arcillas y limos
B5-32,427050.0,4576750.0,-56,65,arcillas y limos
B5-32,427050.0,4576750.0,-55,65,arcillas y limos
B5-32,427050.0,4576750.0,-54,65,arcillas y limos
B5-32,427050.0,4576750.0,-53,65,arcillas y limos
B5-32,427050.0,4576750.0,-52,65,arcillas y limos
B5-32,427050.0,4576750.0,-51,1,arcillas y limos
B5-34,427270.0,4576580.0,-82,0.16,arcillas y limos
B5-34,427270.0,4576580.0,-81,0.16,arcillas y limos
B5-34,427270.0,4576580.0,-80,0.16,arcillas y limos
B5-34,427270.0,4576580.0,-79,0.16,arcillas y limos
B5-34,427270.0,4576580.0,-78,0.16,arcillas y limos
B5-34,427270.0,4576580.0,-77,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-76,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-75,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-74,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-73,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-72,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-71,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-70,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-69,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-68,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-67,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-66,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-65,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-64,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-63,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-62,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-61,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-60,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-59,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-58,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-57,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-56,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-55,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-54,0.45,arcillas y limos
B5-34,427270.0,4576580.0,-52,4,arcillas y limos
B5-34,427270.0,4576580.0,-51,4,arcillas y limos
B5-35,428580.0,4577900.0,-55,0.45,arcillas y limos
B5-35,428580.0,4577900.0,-54,0.45,arcillas y limos
B5-35,428580.0,4577900.0,-53,0.45,arcillas y limos
B5-50,427290.0,4576550.0,-63,1,arcillas y limos
B5-50,427290.0,4576550.0,-62,1,arcillas y limos
B5-50,427290.0,4576550.0,-61,1,arcillas y limos
B5-50,427290.0,4576550.0,-60,1,arcillas y limos
B5-50,427290.0,4576550.0,-59,1,arcillas y limos
B5-50,427290.0,4576550.0,-58,1,arcillas y limos
B5-50,427290.0,4576550.0,-57,1,arcillas y limos
B5-50,427290.0,4576550.0,-56,1,arcillas y limos
B5-50,427290.0,4576550.0,-55,1,arcillas y limos
B5-50,427290.0,4576550.0,-54,1,arcillas y limos
B5-50,427290.0,4576550.0,-53,1,arcillas y limos
B5-51,427295.0,4576555.0,-63,1,arcillas y limos
B5-51,427295.0,4576555.0,-62,1,arcillas y limos
B5-51,427295.0,4576555.0,-61,1,arcillas y limos
B5-51,427295.0,4576555.0,-60,1,arcillas y limos
B5-51,427295.0,4576555.0,-59,1,arcillas y limos
B5-51,427295.0,4576555.0,-58,1,arcillas y limos
B5-51,427295.0,4576555.0,-57,1,arcillas y limos
B5-51,427295.0,4576555.0,-56,1,arcillas y limos
B5-51,427295.0,4576555.0,-55,1,arcillas y limos
B5-51,427295.0,4576555.0,-54,0.45,arcillas y limos
B5-51,427295.0,4576555.0,-53,0.45,arcillas y limos
B5-56,428605.0,4577915.0,-53,0.0001,arcillas y limos
B6-01,429680.0,4577140.0,-88,1,arcillas y limos
B6-01,429680.0,4577140.0,-87,1,arcillas y limos
B6-01,429680.0,4577140.0,-86,1,arcillas y limos
B6-01,429680.0,4577140.0,-85,1,arcillas y limos
B6-01,429680.0,4577140.0,-84,1,arcillas y limos
B6-01,429680.0,4577140.0,-83,1,arcillas y limos
B6-01,429680.0,4577140.0,-82,1,arcillas y limos
B6-01,429680.0,4577140.0,-81,1,arcillas y limos
B6-01,429680.0,4577140.0,-80,1,arcillas y limos
B6-01,429680.0,4577140.0,-79,1,arcillas y limos
B6-01,429680.0,4577140.0,-78,1,arcillas y limos
B6-01,429680.0,4577140.0,-77,1,arcillas y limos
B6-01,429680.0,4577140.0,-76,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-75,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-74,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-73,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-72,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-71,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-70,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-69,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-68,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-67,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-66,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-65,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-64,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-63,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-62,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-61,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-60,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-59,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-58,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-57,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-56,0.16,arcillas y limos
B6-01,429680.0,4577140.0,-55,0.16,arcillas y limos
C3-02,421100.0,4575290.0,-72,0.03,arcillas y limos
C3-02,421100.0,4575290.0,-71,0.03,arcillas y limos
C3-02,421100.0,4575290.0,-70,0.03,arcillas y limos
C3-02,421100.0,4575290.0,-69,0.03,arcillas y limos
C3-02,421100.0,4575290.0,-68,0.03,arcillas y limos
C4-35,423480.0,4575390.0,-51,1,arcillas y limos
C4-38,424095.0,4576305.0,-66,1,arcillas y limos
C4-38,424095.0,4576305.0,-65,1,arcillas y limos
C4-38,424095.0,4576305.0,-64,0.45,arcillas y limos
C4-38,424095.0,4576305.0,-63,0.45,arcillas y limos
C4-38,424095.0,4576305.0,-62,65,arcillas y limos
C4-38,424095.0,4576305.0,-61,65,arcillas y limos
C4-38,424095.0,4576305.0,-60,65,arcillas y limos
C4-64,422340.0,4575020.0,-53,0.45,arcillas y limos
C4-64,422340.0,4575020.0,-52,0.45,arcillas y limos
C4-64,422340.0,4575020.0,-51,0.45,arcillas y limos
C4-74,425000.0,4575060.0,-67,0.45,arcillas y limos
C4-74,425000.0,4575060.0,-66,0.45,arcillas y limos
C4-74,425000.0,4575060.0,-65,0.45,arcillas y limos
C4-74,425000.0,4575060.0,-64,0.45,arcillas y limos
C4-74,425000.0,4575060.0,-63,4,arcillas y limos
C4-74,425000.0,4575060.0,-62,4,arcillas y limos
C4-74,425000.0,4575060.0,-61,4,arcillas y limos
C4-74,425000.0,4575060.0,-60,4,arcillas y limos
C4-74,425000.0,4575060.0,-59,4,arcillas y limos
C4-74,425000.0,4575060.0,-58,4,arcillas y limos
C4-74,425000.0,4575060.0,-57,4,arcillas y limos
C4-74,425000.0,4575060.0,-56,0.0004,arcillas y limos
C4-74,425000.0,4575060.0,-55,0.0004,arcillas y limos
C4-74,425000.0,4575060.0,-54,0.0004,arcillas y limos
C4-74,425000.0,4575060.0,-53,0.0004,arcillas y limos
C4-74,425000.0,4575060.0,-52,0.0004,arcillas y limos
C4-74,425000.0,4575060.0,-51,0.0004,arcillas y limos
C5-04,428075.0,4576035.0,-53,1,arcillas y limos
C5-04,428075.0,4576035.0,-52,1,arcillas y limos
C5-04,428075.0,4576035.0,-51,1,arcillas y limos
C5-06,427710.0,4576110.0,-52,0.0004,arcillas y limos
C5-06,427710.0,4576110.0,-51,0.0004,arcillas y limos
C5-07,426814.0,4574243.0,-52,0.45,arcillas y limos
C5-07,426814.0,4574243.0,-51,4,arcillas y limos
C5-09,428261.0,4574247.0,-80,1,arcillas y limos
C5-09,428261.0,4574247.0,-79,1,arcillas y limos
C5-09,428261.0,4574247.0,-78,1,arcillas y limos
C5-09,428261.0,4574247.0,-77,1,arcillas y limos
C5-09,428261.0,4574247.0,-76,1,arcillas y limos
C5-09,428261.0,4574247.0,-75,1,arcillas y limos
C5-09,428261.0,4574247.0,-74,1,arcillas y limos
C5-09,428261.0,4574247.0,-73,1,arcillas y limos
C5-09,428261.0,4574247.0,-72,1,arcillas y limos
C5-09,428261.0,4574247.0,-71,1,arcillas y limos
C5-09,428261.0,4574247.0,-59,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-58,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-57,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-56,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-55,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-54,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-53,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-52,0.01,arcillas y limos
C5-09,428261.0,4574247.0,-51,0.01,arcillas y limos
C5-10,426572.0,4575650.0,-61,0.16,arcillas y limos
C5-10,426572.0,4575650.0,-60,0.16,arcillas y limos
C5-10,426572.0,4575650.0,-59,0.16,arcillas y limos
C5-10,426572.0,4575650.0,-58,0.16,arcillas y limos
C5-10,426572.0,4575650.0,-57,0.16,arcillas y limos
C5-11,427365.0,4574280.0,-57,4,arcillas y limos
C5-11,427365.0,4574280.0,-56,4,arcillas y limos
C5-11,427365.0,4574280.0,-55,4,arcillas y limos
C5-11,427365.0,4574280.0,-54,4,arcillas y limos
C5-11,427365.0,4574280.0,-53,0.45,arcillas y limos
C5-11,427365.0,4574280.0,-52,65,arcillas y limos
C5-11,427365.0,4574280.0,-51,65,arcillas y limos
C5-12,427210.0,4574344.0,-57,4,arcillas y limos
C5-12,427210.0,4574344.0,-55,4,arcillas y limos
C5-12,427210.0,4574344.0,-54,4,arcillas y limos
C5-12,427210.0,4574344.0,-53,4,arcillas y limos
C5-12,427210.0,4574344.0,-52,4,arcillas y limos
C5-12,427210.0,4574344.0,-51,0.45,arcillas y limos
C5-15,428540.0,4574520.0,-80,1,arcillas y limos
C5-15,428540.0,4574520.0,-79,1,arcillas y limos
C5-15,428540.0,4574520.0,-78,1,arcillas y limos
C5-15,428540.0,4574520.0,-77,1,arcillas y limos
C5-15,428540.0,4574520.0,-76,1,arcillas y limos
C5-15,428540.0,4574520.0,-75,1,arcillas y limos
C5-15,428540.0,4574520.0,-74,1,arcillas y limos
C5-15,428540.0,4574520.0,-73,1,arcillas y limos
C5-15,428540.0,4574520.0,-72,1,arcillas y limos
C5-15,428540.0,4574520.0,-71,1,arcillas y limos
C5-15,428540.0,4574520.0,-61,0.45,arcillas y limos
C5-15,428540.0,4574520.0,-60,4,arcillas y limos
