Codi,UTM_X,UTM_Y,Cota,Valor,Clase
B3-17,421470.0,4576670.0,-64,30.0,gravillas y gravas
B3-17,421470.0,4576670.0,-63,30,gravillas y gravas
B3-17,421470.0,4576670.0,-62,30.0,gravillas y gravas
B3-17,421470.0,4576670.0,-61,30.0,gravillas y gravas
B3-17,421470.0,4576670.0,-60,30,gravillas y gravas
B3-17,421470.0,4576670.0,-59,30,gravillas y gravas
B3-17,421470.0,4576670.0,-58,30.0,gravillas y gravas
B3-17,421470.0,4576670.0,-57,30,gravillas y gravas
B3-17,421470.0,4576670.0,-56,30.0,gravillas y gravas
B3-17,421470.0,4576670.0,-55,30,gravillas y gravas
B3-17,421470.0,4576670.0,-54,30,gravillas y gravas
B3-17,421470.0,4576670.0,-53,30,gravillas y gravas
B3-17,421470.0,4576670.0,-52,30,gravillas y gravas
B3-17,421470.0,4576670.0,-51,30.0,gravillas y gravas
B5-23,427140.0,4577169.0,-51,7.0,gravillas y gravas
B5-34,427270.0,4576580.0,-53,30,gravillas y gravas
B5-35,428580.0,4577900.0,-52,7.0,gravillas y gravas
B5-35,428580.0,4577900.0,-51,7.0,gravillas y gravas
B5-37,428312.0,4576948.0,-51,7.0,gravillas y gravas
B5-50,427290.0,4576550.0,-52,7.0,gravillas y gravas
B5-50,427290.0,4576550.0,-51,7.0,gravillas y gravas
B5-51,427295.0,4576555.0,-52,7,gravillas y gravas
B5-51,427295.0,4576555.0,-51,7.0,gravillas y gravas
B5-56,428605.0,4577915.0,-51,30.0,gravillas y gravas
B6-01,429680.0,4577140.0,-54,7,gravillas y gravas
B6-01,429680.0,4577140.0,-53,7,gravillas y gravas
B6-01,429680.0,4577140.0,-52,7,gravillas y gravas
B6-01,429680.0,4577140.0,-51,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-67,7,gravillas y gravas
C3-02,421100.0,4575290.0,-66,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-65,7,gravillas y gravas
C3-02,421100.0,4575290.0,-64,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-63,7,gravillas y gravas
C3-02,421100.0,4575290.0,-62,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-61,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-60,7,gravillas y gravas
C3-02,421100.0,4575290.0,-59,7,gravillas y gravas
C3-02,421100.0,4575290.0,-58,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-57,7,gravillas y gravas
C3-02,421100.0,4575290.0,-56,7.0,gravillas y gravas
C3-02,421100.0,4575290.0,-55,7,gravillas y gravas
C3-02,421100.0,4575290.0,-54,7,gravillas y gravas
C3-02,421100.0,4575290.0,-53,7,gravillas y gravas
C3-02,421100.0,4575290.0,-52,7,gravillas y gravas
C3-02,421100.0,4575290.0,-51,7.0,gravillas y gravas
C4-38,424095.0,4576305.0,-57,7,gravillas y gravas
C4-38,424095.0,4576305.0,-56,7.0,gravillas y gravas
C4-38,424095.0,4576305.0,-55,7,gravillas y gravas
C4-38,424095.0,4576305.0,-54,7,gravillas y gravas
C4-38,424095.0,4576305.0,-53,7,gravillas y gravas
C4-38,424095.0,4576305.0,-52,7,gravillas y gravas
C4-38,424095.0,4576305.0,-51,7.0,gravillas y gravas
C4-57,423483.0,4574541.0,-59,7,gravillas y gravas
C4-57,423483.0,4574541.0,-58,7.0,gravillas y gravas
C4-57,423483.0,4574541.0,-57,7,gravillas y gravas
C4-57,423483.0,4574541.0,-56,7.0,gravillas y gravas
C4-57,423483.0,4574541.0,-55,7,gravillas y gravas
C4-57,423483.0,4574541.0,-54,7,gravillas y gravas
C4-57,423483.0,4574541.0,-53,7,gravillas y gravas
C4-57,423483.0,4574541.0,-52,7,gravillas y gravas
C4-57,423483.0,4574541.0,-51,7.0,gravillas y gravas
C4-74,425000.0,4575060.0,-69,7,gravillas y gravas
C4-74,425000.0,4575060.0,-68,7.0,gravillas y gravas
C5-04,428075.0,4576035.0,-57,7,gravillas y gravas
C5-04,428075.0,4576035.0,-56,7.0,gravillas y gravas
C5-04,428075.0,4576035.0,-55,7,gravillas y gravas
C5-04,428075.0,4576035.0,-54,7,gravillas y gravas
C5-05,428607.0,4574922.0,-56,7.0,gravillas y gravas
C5-05,428607.0,4574922.0,-55,7.0,gravillas y gravas
C5-05,428607.0,4574922.0,-54,7.0,gravillas y gravas
C5-05,428607.0,4574922.0,-53,7.0,gravillas y gravas
C5-05,428607.0,4574922.0,-52,7.0,gravillas y gravas
C5-05,428607.0,4574922.0,-51,7.0,gravillas y gravas
C5-06,427710.0,4576110.0,-56,7.0,gravillas y gravas
C5-06,427710.0,4576110.0,-55,7.0,gravillas y gravas
C5-06,427710.0,4576110.0,-54,7.0,gravillas y gravas
C5-06,427710.0,4576110.0,-53,7.0,gravillas y gravas
C5-07,426814.0,4574243.0,-55,7,gravillas y gravas
C5-07,426814.0,4574243.0,-54,7,gravillas y gravas
C5-07,426814.0,4574243.0,-53,7,gravillas y gravas
C5-09,428261.0,4574247.0,-70,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-69,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-68,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-67,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-66,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-65,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-64,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-63,7.0,gravillas y gravas
C5-09,428261.0,4574247.0,-62,7.0,gravillas y gravas
C5-10,426572.0,4575650.0,-56,7.0,gravillas y gravas
C5-10,426572.0,4575650.0,-55,7.0,gravillas y gravas
C5-10,426572.0,4575650.0,-54,7.0,gravillas y gravas
C5-10,426572.0,4575650.0,-53,7.0,gravillas y gravas
C5-10,426572.0,4575650.0,-52,7.0,gravillas y gravas
C5-10,426572.0,4575650.0,-51,7.0,gravillas y gravas
C5-11,427365.0,4574280.0,-62,7.0,gravillas y gravas
C5-11,427365.0,4574280.0,-61,7.0,gravillas y gravas
C5-11,427365.0,4574280.0,-60,7.0,gravillas y gravas
C5-11,427365.0,4574280.0,-59,7.0,gravillas y gravas
C5-11,427365.0,4574280.0,-58,7.0,gravillas y gravas
C5-12,427210.0,4574344.0,-63,7,gravillas y gravas
C5-12,427210.0,4574344.0,-62,7.0,gravillas y gravas
C5-12,427210.0,4574344.0,-61,7.0,gravillas y gravas
C5-12,427210.0,4574344.0,-60,7,gravillas y gravas
C5-12,427210.0,4574344.0,-59,7,gravillas y gravas
C5-12,427210.0,4574344.0,-58,7.0,gravillas y gravas
C5-15,428540.0,4574520.0,-70,7.0,gravillas y gravas
C5-15,428540.0,4574520.0,-69,7.0,gravillas y gravas
C5-15,428540.0,4574520.0,-68,65.0,gravillas y gravas
C5-15,428540.0,4574520.0,-67,65.0,gravillas y gravas
C5-15,428540.0,4574520.0,-66,65.0,gravillas y gravas
C5-15,428540.0,4574520.0,-65,65.0,gravillas y gravas
C5-15,428540.0,4574520.0,-64,65.0,gravillas y gravas
