Codi,UTM_X,UTM_Y,Cota,Valor,Clase
B5-30,428450.0,4577240.0,-71,1.15,arenas
B5-30,428450.0,4577240.0,-70,1.15,arenas
B5-30,428450.0,4577240.0,-69,1.15,arenas
B5-30,428450.0,4577240.0,-68,1.15,arenas
B5-30,428450.0,4577240.0,-67,1.15,arenas
B5-30,428450.0,4577240.0,-66,1.15,arenas
B5-30,428450.0,4577240.0,-65,1.15,arenas
B5-30,428450.0,4577240.0,-64,1.15,arenas
B5-30,428450.0,4577240.0,-63,1.15,arenas
B5-30,428450.0,4577240.0,-62,1.15,arenas
B5-30,428450.0,4577240.0,-61,1.15,arenas
B5-30,428450.0,4577240.0,-60,1.15,arenas
B5-30,428450.0,4577240.0,-59,1.15,arenas
B5-30,428450.0,4577240.0,-58,1.15,arenas
B5-30,428450.0,4577240.0,-57,1.15,arenas
B5-32,427050.0,4576750.0,-63,1.15,arenas
B5-32,427050.0,4576750.0,-62,1.15,arenas
B5-32,427050.0,4576750.0,-61,1.15,arenas
B5-32,427050.0,4576750.0,-60,1.15,arenas
B5-51,427295.0,4576555.0,-83,1.15,arenas
B5-51,427295.0,4576555.0,-82,1.15,arenas
B5-51,427295.0,4576555.0,-81,1.15,arenas
B5-51,427295.0,4576555.0,-80,1.15,arenas
B5-51,427295.0,4576555.0,-79,1.15,arenas
B5-51,427295.0,4576555.0,-78,1.15,arenas
B5-51,427295.0,4576555.0,-77,1.15,arenas
B5-51,427295.0,4576555.0,-76,1.15,arenas
B5-51,427295.0,4576555.0,-75,1.15,arenas
B5-51,427295.0,4576555.0,-74,1.15,arenas
B5-51,427295.0,4576555.0,-73,1.15,arenas
B5-51,427295.0,4576555.0,-72,1.15,arenas
B5-51,427295.0,4576555.0,-71,1.15,arenas
B5-51,427295.0,4576555.0,-70,1.15,arenas
B5-51,427295.0,4576555.0,-69,1.15,arenas
B5-51,427295.0,4576555.0,-68,1.15,arenas
B5-51,427295.0,4576555.0,-67,1.15,arenas
B5-51,427295.0,4576555.0,-66,1.15,arenas
B5-51,427295.0,4576555.0,-65,1.15,arenas
B5-51,427295.0,4576555.0,-64,1.15,arenas
C4-38,424095.0,4576305.0,-59,1.15,arenas
C4-38,424095.0,4576305.0,-58,1.15,arenas
C4-72,423180.0,4576020.0,-53,1.15,arenas
C4-72,423180.0,4576020.0,-52,1.15,arenas
C4-72,423180.0,4576020.0,-51,1.15,arenas
C4-73,424030.0,4575980.0,-62,1.15,arenas
C4-73,424030.0,4575980.0,-61,1.15,arenas
C4-73,424030.0,4575980.0,-60,1.15,arenas
C4-73,424030.0,4575980.0,-59,1.15,arenas
C4-73,424030.0,4575980.0,-58,1.15,arenas
C4-73,424030.0,4575980.0,-57,1.15,arenas
C4-73,424030.0,4575980.0,-56,1.15,arenas
C4-73,424030.0,4575980.0,-55,1.15,arenas
