Codi,UTM_X,UTM_Y,Cota,Valor,Clase
A3-07,421651.0,4579184.0,-26,1,arcillas y limos
A3-08,421565.0,4579792.0,-24,1,arcillas y limos
A3-13,420070.0,4581230.0,-31,1,arcillas y limos
A3-13,420070.0,4581230.0,-27,4,arcillas y limos
A3-13,420070.0,4581230.0,-26,4,arcillas y limos
A3-13,420070.0,4581230.0,-25,4,arcillas y limos
A3-13,420070.0,4581230.0,-24,4,arcillas y limos
A3-13,420070.0,4581230.0,-23,4,arcillas y limos
A3-13,420070.0,4581230.0,-22,4,arcillas y limos
A3-13,420070.0,4581230.0,-21,4,arcillas y limos
A4-03,421871.0,4579182.0,-27,4,arcillas y limos
A4-03,421871.0,4579182.0,-26,0.45,arcillas y limos
A4-03,421871.0,4579182.0,-25,0.45,arcillas y limos
A4-03,421871.0,4579182.0,-24,1,arcillas y limos
A4-03,421871.0,4579182.0,-23,1,arcillas y limos
A4-03,421871.0,4579182.0,-22,1,arcillas y limos
A4-03,421871.0,4579182.0,-21,1,arcillas y limos
A4-04,421744.0,4579205.0,-31,0.03,arcillas y limos
A4-04,421744.0,4579205.0,-30,0.03,arcillas y limos
A4-04,421744.0,4579205.0,-29,65,arcillas y limos
A4-04,421744.0,4579205.0,-28,65,arcillas y limos
A4-04,421744.0,4579205.0,-27,65,arcillas y limos
A4-04,421744.0,4579205.0,-26,65,arcillas y limos
A4-04,421744.0,4579205.0,-25,65,arcillas y limos
A4-04,421744.0,4579205.0,-24,65,arcillas y limos
A4-04,421744.0,4579205.0,-23,65,arcillas y limos
A4-04,421744.0,4579205.0,-22,65,arcillas y limos
A4-04,421744.0,4579205.0,-21,65,arcillas y limos
A4-05,421762.0,4578961.0,-28,0.16,arcillas y limos
A4-07,421789.0,4579028.0,-29,0.16,arcillas y limos
A4-08,421830.0,4579081.0,-25,0.16,arcillas y limos
A4-08,421830.0,4579081.0,-24,0.16,arcillas y limos
A4-08,421830.0,4579081.0,-23,0.16,arcillas y limos
A4-08,421830.0,4579081.0,-22,0.16,arcillas y limos
A4-08,421830.0,4579081.0,-21,0.16,arcillas y limos
A4-09,421856.0,4578989.0,-44,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-43,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-42,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-41,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-39,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-38,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-37,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-36,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-35,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-34,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-33,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-32,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-31,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-30,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-29,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-28,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-27,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-26,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-25,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-24,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-23,65,arcillas y limos
A4-09,421856.0,4578989.0,-22,0.45,arcillas y limos
A4-09,421856.0,4578989.0,-21,0.45,arcillas y limos
A5-13,426740.0,4578840.0,-33,1,arcillas y limos
A5-13,426740.0,4578840.0,-32,1,arcillas y limos
A5-13,426740.0,4578840.0,-31,1,arcillas y limos
A5-13,426740.0,4578840.0,-30,1,arcillas y limos
A5-13,426740.0,4578840.0,-29,1,arcillas y limos
A5-13,426740.0,4578840.0,-28,1,arcillas y limos
A5-13,426740.0,4578840.0,-27,1,arcillas y limos
B3-03,421606.0,4578734.0,-29,4,arcillas y limos
B3-04,421650.0,4578620.0,-30,1,arcillas y limos
B3-05,420400.0,4578015.0,-26,0.45,arcillas y limos
B3-05,420400.0,4578015.0,-25,65,arcillas y limos
B3-05,420400.0,4578015.0,-24,65,arcillas y limos
