Codi,UTM_X,UTM_Y,Cota,Valor,Clase
A4-09,421856.0,4578989.0,-40,3.5,arenas
A5-10,426780.0,4578820.0,-27,1.15,arenas
A5-10,426780.0,4578820.0,-26,1.15,arenas
A5-10,426780.0,4578820.0,-25,1.15,arenas
A5-10,426780.0,4578820.0,-24,1.15,arenas
A5-10,426780.0,4578820.0,-23,1.15,arenas
A5-10,426780.0,4578820.0,-22,1.15,arenas
A5-10,426780.0,4578820.0,-21,1.15,arenas
A5-12,426830.0,4578930.0,-24,1.15,arenas
A5-12,426830.0,4578930.0,-23,1.15,arenas
A5-12,426830.0,4578930.0,-22,1.15,arenas
A5-12,426830.0,4578930.0,-21,1.15,arenas
B3-03,421606.0,4578734.0,-21,1.15,arenas
B4-06,422024.0,4578068.0,-24,1.15,arenas
B4-06,422024.0,4578068.0,-23,1.15,arenas
B4-06,422024.0,4578068.0,-22,1.15,arenas
B4-06,422024.0,4578068.0,-21,1.15,arenas
B4-09,424640.0,4578330.0,-21,1.15,arenas
B4-15,424295.0,4576785.0,-30,1.15,arenas
B5-01,427520.0,4578010.0,-34,3.5,arenas
B5-01,427520.0,4578010.0,-33,3.5,arenas
B5-01,427520.0,4578010.0,-32,3.5,arenas
B5-01,427520.0,4578010.0,-31,3.5,arenas
B5-01,427520.0,4578010.0,-27,1.15,arenas
B5-01,427520.0,4578010.0,-26,1.15,arenas
B5-01,427520.0,4578010.0,-25,1.15,arenas
B5-01,427520.0,4578010.0,-24,1.15,arenas
B5-01,427520.0,4578010.0,-23,1.15,arenas
B5-01,427520.0,4578010.0,-22,1.15,arenas
B5-01,427520.0,4578010.0,-21,1.15,arenas
B5-02,426800.0,4577000.0,-23,3.5,arenas
B5-02,426800.0,4577000.0,-22,3.5,arenas
B5-03,426840.0,4577090.0,-22,3.5,arenas
B5-03,426840.0,4577090.0,-21,3.5,arenas
B5-05,427080.0,4577120.0,-44,3.5,arenas
B5-07,426940.0,4577090.0,-24,1.15,arenas
B5-07,426940.0,4577090.0,-23,1.15,arenas
B5-07,426940.0,4577090.0,-22,1.15,arenas
B5-07,426940.0,4577090.0,-21,1.15,arenas
B5-08,427850.0,4578470.0,-27,1.15,arenas
B5-08,427850.0,4578470.0,-26,1.15,arenas
B5-08,427850.0,4578470.0,-25,1.15,arenas
B5-08,427850.0,4578470.0,-24,1.15,arenas
B5-08,427850.0,4578470.0,-23,1.15,arenas
B5-10,426750.0,4576920.0,-26,1.15,arenas
B5-10,426750.0,4576920.0,-25,1.15,arenas
B5-10,426750.0,4576920.0,-24,1.15,arenas
B5-10,426750.0,4576920.0,-23,1.15,arenas
B5-10,426750.0,4576920.0,-22,1.15,arenas
B5-11,426820.0,4576870.0,-31,1.15,arenas
B5-11,426820.0,4576870.0,-30,1.15,arenas
B5-11,426820.0,4576870.0,-29,1.15,arenas
B5-11,426820.0,4576870.0,-28,1.15,arenas
B5-11,426820.0,4576870.0,-27,1.15,arenas
B5-11,426820.0,4576870.0,-26,1.15,arenas
B5-11,426820.0,4576870.0,-25,1.15,arenas
B5-12,427240.0,4577310.0,-44,1.15,arenas
B5-13,427100.0,4577660.0,-29,3.5,arenas
B5-13,427100.0,4577660.0,-28,3.5,arenas
B5-18,425240.0,4577455.0,-37,1.15,arenas
B5-29,427939.0,4577559.0,-43,1.15,arenas
B5-29,427939.0,4577559.0,-42,1.15,arenas
B5-30,428450.0,4577240.0,-44,1.15,arenas
B5-30,428450.0,4577240.0,-43,1.15,arenas
B5-35,428580.0,4577900.0,-45,3.5,arenas
B5-35,428580.0,4577900.0,-44,3.5,arenas
B5-35,428580.0,4577900.0,-43,3.5,arenas
B5-35,428580.0,4577900.0,-42,3.5,arenas
B5-35,428580.0,4577900.0,-41,3.5,arenas
B5-35,428580.0,4577900.0,-40,3.5,arenas
B5-35,428580.0,4577900.0,-39,3.5,arenas
B5-35,428580.0,4577900.0,-38,3.5,arenas
B5-35,428580.0,4577900.0,-37,3.5,arenas
B5-35,428580.0,4577900.0,-36,3.5,arenas
B5-35,428580.0,4577900.0,-35,3.5,arenas
B5-35,428580.0,4577900.0,-34,3.5,arenas
B5-35,428580.0,4577900.0,-33,3.5,arenas
B5-35,428580.0,4577900.0,-32,3.5,arenas
B5-35,428580.0,4577900.0,-31,3.5,arenas
B5-35,428580.0,4577900.0,-30,3.5,arenas
B5-35,428580.0,4577900.0,-29,3.5,arenas
B5-35,428580.0,4577900.0,-28,3.5,arenas
B5-35,428580.0,4577900.0,-27,3.5,arenas
B5-35,428580.0,4577900.0,-26,3.5,arenas
B5-35,428580.0,4577900.0,-25,3.5,arenas
B5-35,428580.0,4577900.0,-24,3.5,arenas
B5-35,428580.0,4577900.0,-23,3.5,arenas
B5-35,428580.0,4577900.0,-22,3.5,arenas
B5-35,428580.0,4577900.0,-21,3.5,arenas
B5-36,425820.0,4576670.0,-24,1.15,arenas
B5-36,425820.0,4576670.0,-23,1.15,arenas
B5-36,425820.0,4576670.0,-22,1.15,arenas
B5-36,425820.0,4576670.0,-21,1.15,arenas
B5-37,428312.0,4576948.0,-31,1.15,arenas
B5-37,428312.0,4576948.0,-30,1.15,arenas
B5-37,428312.0,4576948.0,-29,1.15,arenas
B5-37,428312.0,4576948.0,-28,1.15,arenas
B5-37,428312.0,4576948.0,-27,1.15,arenas
B5-37,428312.0,4576948.0,-26,1.15,arenas
B5-37,428312.0,4576948.0,-25,1.15,arenas
B5-37,428312.0,4576948.0,-24,1.15,arenas
B5-37,428312.0,4576948.0,-23,1.15,arenas
B5-37,428312.0,4576948.0,-22,1.15,arenas
B5-37,428312.0,4576948.0,-21,1.15,arenas
B5-39,425760.12299999996,4576560.345,-38,1.15,arenas
B5-39,425760.12299999996,4576560.345,-37,1.15,arenas
B5-39,425760.12299999996,4576560.345,-36,1.15,arenas
B5-39,425760.12299999996,4576560.345,-35,1.15,arenas
B5-39,425760.12299999996,4576560.345,-34,1.15,arenas
B5-39,425760.12299999996,4576560.345,-33,1.15,arenas
B5-39,425760.12299999996,4576560.345,-32,1.15,arenas
B5-39,425760.12299999996,4576560.345,-31,1.15,arenas
B5-39,425760.12299999996,4576560.345,-30,1.15,arenas
B5-39,425760.12299999996,4576560.345,-29,1.15,arenas
B5-39,425760.12299999996,4576560.345,-28,1.15,arenas
B5-39,425760.12299999996,4576560.345,-27,1.15,arenas
B5-39,425760.12299999996,4576560.345,-26,1.15,arenas
B5-39,425760.12299999996,4576560.345,-25,1.15,arenas
B5-39,425760.12299999996,4576560.345,-24,1.15,arenas
B5-39,425760.12299999996,4576560.345,-23,1.15,arenas
B5-39,425760.12299999996,4576560.345,-22,1.15,arenas
B5-39,425760.12299999996,4576560.345,-21,1.15,arenas
B5-55,426600.0,4578750.0,-28,3.5,arenas
B5-55,426600.0,4578750.0,-27,3.5,arenas
C3-01,418960.0,4574920.0,-21,1.15,arenas
C3-05,421250.0,4576073.0,-35,1.15,arenas
C3-05,421250.0,4576073.0,-34,1.15,arenas
C3-05,421250.0,4576073.0,-33,1.15,arenas
C3-05,421250.0,4576073.0,-32,1.15,arenas
C3-05,421250.0,4576073.0,-31,1.15,arenas
C3-05,421250.0,4576073.0,-30,1.15,arenas
C3-05,421250.0,4576073.0,-29,1.15,arenas
C4-09,425005.0,4575935.0,-45,3.5,arenas
C4-10,423950.0,4575945.0,-50,3.5,arenas
C4-11,423450.0,4574875.0,-46,3.5,arenas
C4-42,423095.0,4575565.0,-34,1.15,arenas
C4-42,423095.0,4575565.0,-33,1.15,arenas
C4-42,423095.0,4575565.0,-32,1.15,arenas
C4-42,423095.0,4575565.0,-31,1.15,arenas
C4-43,423110.0,4575245.0,-31,1.15,arenas
C4-72,423180.0,4576020.0,-50,1.15,arenas
C4-72,423180.0,4576020.0,-49,1.15,arenas
C4-72,423180.0,4576020.0,-48,1.15,arenas
C4-72,423180.0,4576020.0,-47,1.15,arenas
C4-72,423180.0,4576020.0,-46,1.15,arenas
C4-72,423180.0,4576020.0,-45,1.15,arenas
C4-72,423180.0,4576020.0,-44,1.15,arenas
C4-72,423180.0,4576020.0,-43,1.15,arenas
C4-72,423180.0,4576020.0,-42,1.15,arenas
