Codi,UTM_X,UTM_Y,Cota,Valor,Clase
A3-08,421565.0,4579792.0,-8,1.15,arenas
A3-08,421565.0,4579792.0,-2,1.15,arenas
A3-08,421565.0,4579792.0,-1,1.15,arenas
A3-08,421565.0,4579792.0,0,1.15,arenas
A3-08,421565.0,4579792.0,1,1.15,arenas
A3-09,421559.0,4579062.0,0,1.15,arenas
A4-04,421744.0,4579205.0,-17,1.15,arenas
A4-04,421744.0,4579205.0,-16,1.15,arenas
A4-04,421744.0,4579205.0,-15,1.15,arenas
A4-04,421744.0,4579205.0,-14,1.15,arenas
A4-04,421744.0,4579205.0,-13,1.15,arenas
A4-04,421744.0,4579205.0,-12,1.15,arenas
A4-04,421744.0,4579205.0,-11,1.15,arenas
A4-04,421744.0,4579205.0,-10,1.15,arenas
A4-04,421744.0,4579205.0,-9,1.15,arenas
A4-08,421830.0,4579081.0,-18,1.15,arenas
A5-01,428209.0,4579026.0,-11,1.15,arenas
A5-01,428209.0,4579026.0,-10,1.15,arenas
A5-01,428209.0,4579026.0,-9,1.15,arenas
A5-01,428209.0,4579026.0,-8,1.15,arenas
A5-01,428209.0,4579026.0,-7,1.15,arenas
A5-01,428209.0,4579026.0,-6,1.15,arenas
A5-01,428209.0,4579026.0,-5,1.15,arenas
A5-01,428209.0,4579026.0,-4,1.15,arenas
A5-01,428209.0,4579026.0,-3,1.15,arenas
A5-01,428209.0,4579026.0,-2,1.15,arenas
A5-01,428209.0,4579026.0,-1,1.15,arenas
A5-01,428209.0,4579026.0,0,1.15,arenas
A5-01,428209.0,4579026.0,1,1.15,arenas
A5-02,427697.0,4579247.0,-13,1.15,arenas
A5-02,427697.0,4579247.0,-12,1.15,arenas
A5-02,427697.0,4579247.0,-11,1.15,arenas
A5-02,427697.0,4579247.0,-10,1.15,arenas
A5-02,427697.0,4579247.0,-9,1.15,arenas
A5-02,427697.0,4579247.0,-8,1.15,arenas
A5-02,427697.0,4579247.0,-7,1.15,arenas
A5-02,427697.0,4579247.0,-5,1.15,arenas
A5-02,427697.0,4579247.0,-4,1.15,arenas
A5-02,427697.0,4579247.0,-3,1.15,arenas
A5-02,427697.0,4579247.0,-2,1.15,arenas
A5-02,427697.0,4579247.0,-1,1.15,arenas
A5-02,427697.0,4579247.0,0,1.15,arenas
A5-02,427697.0,4579247.0,3,1.15,arenas
A5-02,427697.0,4579247.0,4,1.15,arenas
A5-02,427697.0,4579247.0,5,1.15,arenas
A5-03,427369.0,4579475.0,-7,1.15,arenas
A5-03,427369.0,4579475.0,-6,1.15,arenas
A5-03,427369.0,4579475.0,-5,1.15,arenas
A5-03,427369.0,4579475.0,-4,1.15,arenas
A5-03,427369.0,4579475.0,-2,1.15,arenas
A5-03,427369.0,4579475.0,-1,1.15,arenas
A5-03,427369.0,4579475.0,0,1.15,arenas
A5-03,427369.0,4579475.0,1,1.15,arenas
A5-03,427369.0,4579475.0,3,1.15,arenas
A5-04,426775.0,4579614.0,-9,1.15,arenas
A5-04,426775.0,4579614.0,-8,1.15,arenas
A5-04,426775.0,4579614.0,-7,1.15,arenas
A5-04,426775.0,4579614.0,-6,1.15,arenas
A5-04,426775.0,4579614.0,-5,1.15,arenas
A5-04,426775.0,4579614.0,-1,1.15,arenas
A5-05,426556.0,4579775.0,-2,1.15,arenas
A5-05,426556.0,4579775.0,-1,1.15,arenas
A5-07,427548.0,4579208.0,-4,1.15,arenas
A5-07,427548.0,4579208.0,-3,1.15,arenas
A5-07,427548.0,4579208.0,-2,1.15,arenas
A5-07,427548.0,4579208.0,-1,1.15,arenas
A5-08,425920.0,4579280.0,-6,1.15,arenas
A5-08,425920.0,4579280.0,-4,3.5,arenas
A5-08,425920.0,4579280.0,-3,3.5,arenas
A5-08,425920.0,4579280.0,-2,3.5,arenas
A5-08,425920.0,4579280.0,-1,3.5,arenas
A5-08,425920.0,4579280.0,0,3.5,arenas
A5-09,427570.0,4579170.0,-10,1.15,arenas
A5-09,427570.0,4579170.0,-9,1.15,arenas
A5-09,427570.0,4579170.0,-8,1.15,arenas
A5-09,427570.0,4579170.0,-7,1.15,arenas
A5-09,427570.0,4579170.0,-6,1.15,arenas
A5-09,427570.0,4579170.0,-5,1.15,arenas
A5-09,427570.0,4579170.0,-4,1.15,arenas
A5-09,427570.0,4579170.0,-3,1.15,arenas
A5-09,427570.0,4579170.0,-2,1.15,arenas
A5-09,427570.0,4579170.0,-1,1.15,arenas
A5-10,426780.0,4578820.0,-20,1.15,arenas
A5-10,426780.0,4578820.0,-19,1.15,arenas
A5-10,426780.0,4578820.0,-18,1.15,arenas
A5-10,426780.0,4578820.0,-17,1.15,arenas
A5-10,426780.0,4578820.0,-16,1.15,arenas
A5-10,426780.0,4578820.0,-15,1.15,arenas
A5-10,426780.0,4578820.0,-14,1.15,arenas
A5-10,426780.0,4578820.0,-13,1.15,arenas
